timestamp,gross_return,trading_cost,net_return,turnover,gross_exposure,gross_equity,equity,estimated_cost_dollars,drawdown,same_exposure_long_gross_return,same_exposure_long_trading_cost,same_exposure_long_net_return,same_exposure_long_turnover,same_exposure_long_gross_exposure,same_exposure_long_gross_equity,same_exposure_long_equity,same_exposure_long_estimated_cost_dollars,same_exposure_long_drawdown,full_exposure_long_gross_return,full_exposure_long_trading_cost,full_exposure_long_net_return,full_exposure_long_turnover,full_exposure_long_gross_exposure,full_exposure_long_gross_equity,full_exposure_long_equity,full_exposure_long_estimated_cost_dollars,full_exposure_long_drawdown,benchmark_return,benchmark_equity
2019-06-19,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.009572796623787926,0.000245,0.009327796623787925,0.35,0.35,100957.2796623788,100932.77966237879,24.5,0.0,0.009327796623787925,100932.77966237879
2019-06-20,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.022681341132854936,0.0,0.022681341132854936,0.0,0.35,103247.12616224625,103222.07046938849,0.0,0.0,0.022681341132854936,103222.07046938849
2019-06-21,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.019221852159399644,0.0,0.019221852159399644,0.0,0.35,105231.72715721982,105206.1898475382,0.0,0.0,0.019221852159399644,105206.1898475382
2019-06-22,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.005026111161604518,0.0,0.005026111161604518,0.0,0.35,105760.63351563965,105734.96785260079,0.0,0.0,0.005026111161604518,105734.96785260079
2019-06-23,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.00502110940184779,0.0,0.00502110940184779,0.0,0.35,106291.6692269304,106265.87469378956,0.0,0.0,0.00502110940184779,106265.87469378956
2019-06-24,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.02478725973402731,0.0,0.02478725973402731,0.0,0.35,108926.34843962165,108899.91453068813,0.0,0.0,0.02478725973402731,108899.91453068813
2019-06-25,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.03637207003305226,0.0,0.03637207003305226,0.0,0.35,112888.22521351223,112860.82984859172,0.0,0.0,0.03637207003305226,112860.82984859172
2019-06-26,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,-0.0492998825609941,0.0,-0.0492998825609941,0.0,0.35,107322.84896796702,107296.80419131981,0.0,-0.049299882560994046,-0.0492998825609941,107296.80419131981
2019-06-27,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.03832525237106282,0.0,0.03832525237106282,0.0,0.35,111436.02423984582,111408.98129056067,0.0,-0.012864060630945029,0.03832525237106282,111408.98129056067
2019-06-28,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,-0.012636586796428644,0.0,-0.012636586796428644,0.0,0.35,110027.85324729007,110001.15202858081,0.0,-0.025338089608656134,-0.012636586796428644,110001.15202858081
2019-06-29,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,-0.033427806025544154,0.0,-0.033427806025544154,0.0,0.35,106349.86351153262,106324.05485598302,0.0,-0.05791889888970425,-0.033427806025544154,106324.05485598302
2019-06-30,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,-0.007571970232830588,0.0,-0.007571970232830588,0.0,0.35,105544.5855107577,105518.97227757967,0.0,-0.06505230894422365,-0.007571970232830588,105518.97227757967
2019-07-01,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0072275408710609,0.0,0.0072275408710609,0.0,0.35,106307.41331625589,106281.61496238821,0.0,-0.05829493629481408,0.0072275408710609,106281.61496238821
2019-07-02,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0,0.03757352689894272,0.0,0.03757352689894272,0.0,0.35,110301.75777005125,110274.99008104058,0.0,-0.022911755752816676,0.03757352689894272,110274.99008104058
2019-07-03,0.021823871643014484,0.000245,0.021578871643014485,0.35,0.35,102182.38716430146,102157.88716430146,24.5,0.0,-0.021823871643014484,0.000245,-0.022068871643014482,0.35,0.35,97817.61283569856,97793.11283569854,24.5,-0.02206887164301452,-0.021823871643014484,0.0,-0.021823871643014484,0.0,0.35,107894.54636647877,107868.36285207726,0.0,-0.04423560417916561,-0.021823871643014484,107868.36285207726
2019-07-04,-0.0073953547217284026,0.00049,-0.007885354721728403,0.7,0.35,101426.71216490846,101352.33598638864,50.05736471050771,-0.007885354721728355,-0.0073953547217284026,0.0,-0.0073953547217284026,0.0,0.35,97094.21689074588,97069.89807693654,0.0,-0.02930101923063455,-0.0073953547217284026,0.0,-0.0073953547217284026,0.0,0.35,107096.6279235587,107070.63804553405,0.0,-0.05130382091665897,-0.0073953547217284026,107070.63804553405
2019-07-05,0.0,0.000245,-0.000245,0.35,0.0,101426.71216490846,101327.50466407197,24.83132231666522,-0.008128422809821623,0.0,0.000245,-0.000245,0.35,0.0,97094.21689074588,97046.11595190769,23.782125028849453,-0.029538840480923145,0.0073354356982595955,0.0,0.0073354356982595955,0.0,0.35,107882.22835119239,107856.04782608869,0.0,-0.044344721097808626,0.0073354356982595955,107856.04782608869
2019-07-06,0.0,0.0,0.0,0.0,0.0,101426.71216490846,101327.50466407197,0.0,-0.008128422809821623,0.0,0.0,0.0,0.0,0.0,97094.21689074588,97046.11595190769,0.0,-0.029538840480923145,0.007565970490581808,0.0,0.007565970490581808,0.0,0.35,108698.46210735569,108672.08350117164,0.0,-0.03711426145846597,0.007565970490581808,108672.08350117164
2019-07-07,0.0,0.0,0.0,0.0,0.0,101426.71216490846,101327.50466407197,0.0,-0.008128422809821623,0.0,0.0,0.0,0.0,0.0,97094.21689074588,97046.11595190769,0.0,-0.029538840480923145,0.025525533003794152,0.0,0.025525533003794152,0.0,0.35,111473.04828933868,111445.99635517187,0.0,-0.012536089760441405,0.025525533003794152,111445.99635517187
2019-07-08,0.0,0.0,0.0,0.0,0.0,101426.71216490846,101327.50466407197,0.0,-0.008128422809821623,0.0,0.0,0.0,0.0,0.0,97094.21689074588,97046.11595190769,0.0,-0.029538840480923145,0.008200343204946624,0.0,0.008200343204946624,0.0,0.35,112387.16554341286,112359.89177410153,0.0,-0.00443854679397826,0.008200343204946624,112359.89177410153
2019-07-09,0.0,0.0,0.0,0.0,0.0,101426.71216490846,101327.50466407197,0.0,-0.008128422809821623,0.0,0.0,0.0,0.0,0.0,97094.21689074588,97046.11595190769,0.0,-0.029538840480923145,-0.01161580321327561,0.0,-0.01161580321327561,0.0,0.35,111081.69834476276,111054.74138218863,0.0,-0.016002792721142023,-0.01161580321327561,111054.74138218863
2019-07-10,0.0,0.0,0.0,0.0,0.0,101426.71216490846,101327.50466407197,0.0,-0.008128422809821623,0.0,0.0,0.0,0.0,0.0,97094.21689074588,97046.11595190769,0.0,-0.029538840480923145,-0.022971037177940166,0.0,-0.022971037177940166,0.0,0.35,108530.03652229649,108503.69878911183,0.0,-0.03860622915253409,-0.022971037177940166,108503.69878911183
